Configuration,Nodes,Time (s),Speedup,Efficiency (%)
2×56,16,6.1041,16.50923150013925,103.18269687587032
8×14,16,1.3856,16.500649538106238,103.12905961316399
16×7,16,0.7238,17.45799944736115,109.1124965460072
