TestType,BuildVariant,Nodes,TotalTasks,TasksPerNode,ThreadsPerTask,EnergySources,XDim,YDim,Iterations,TotalTime,ComputationTime,InternalCompTime,BorderCompTime,CommunicationTime,InitTime
weak,ofast_omp_improved,16,128,8,14,2,16384,16384,500,1.5095,1.3862,1.3197,0.0682,0.1629,0.0121
weak,ofast_omp_improved,16,32,2,56,1,16384,16384,500,6.5733,6.0897,5.8233,0.2698,0.5365,0.0480
weak,ofast_omp_improved,16,32,2,56,2,16384,16384,500,6.5914,6.0706,5.8041,0.2697,0.4802,0.0458
weak,ofast_omp_improved,16,256,16,7,1,16384,16384,500,0.8651,0.8278,0.7966,0.0332,0.2037,0.0064
weak,ofast_omp_improved,16,32,2,56,8,16384,16384,500,6.4399,6.0498,5.7828,0.2701,0.3762,0.0485
weak,ofast_omp_improved,16,256,16,7,2,16384,16384,500,0.7795,0.7268,0.6956,0.0326,0.0905,0.0068
weak,ofast_omp_improved,16,256,16,7,8,16384,16384,500,0.7925,0.7469,0.7156,0.0330,0.1274,0.0066
weak,ofast_omp_improved,8,64,8,14,1,16384,16384,500,3.2426,3.1156,3.0453,0.0716,0.4765,0.0237
weak,ofast_omp_improved,8,64,8,14,2,16384,16384,500,2.9372,2.8170,2.7451,0.0725,0.3895,0.0218
weak,ofast_omp_improved,8,64,8,14,8,16384,16384,500,2.9107,2.7865,2.7156,0.0722,0.1669,0.0225
weak,ofast_omp_improved,8,128,16,7,2,16384,16384,500,1.5907,1.5223,1.4847,0.0402,0.2843,0.0117
weak,ofast_omp_improved,8,128,16,7,1,16384,16384,500,1.5829,1.5214,1.4840,0.0393,0.1255,0.0120
weak,ofast_omp_improved,8,128,16,7,8,16384,16384,500,1.6179,1.5557,1.5179,0.0399,0.1588,0.0122
weak,ofast_omp_improved,8,16,2,56,1,16384,16384,500,12.1193,11.7002,11.4246,0.2787,0.5581,0.0973
weak,ofast_omp_improved,8,16,2,56,2,16384,16384,500,12.3461,11.7397,11.4665,0.2786,0.8140,0.1009
weak,ofast_omp_improved,8,16,2,56,8,16384,16384,500,12.3011,11.9162,11.6403,0.2797,0.7073,0.1733
weak,ofast_omp_improved,4,32,8,14,1,16384,16384,500,5.8739,5.6901,5.6062,0.0888,0.3882,0.0424
weak,ofast_omp_improved,4,32,8,14,2,16384,16384,500,5.8814,5.7514,5.6702,0.0888,0.3721,0.0469
weak,ofast_omp_improved,4,64,16,7,1,16384,16384,500,3.1515,3.0839,3.0434,0.0442,0.1659,0.0240
weak,ofast_omp_improved,4,32,8,14,8,16384,16384,500,5.7674,5.6226,5.5422,0.0863,0.3126,0.0459
weak,ofast_omp_improved,4,64,16,7,2,16384,16384,500,3.2589,3.1998,3.1586,0.0430,0.2718,0.0235
weak,ofast_omp_improved,4,64,16,7,8,16384,16384,500,3.2254,3.1690,3.1281,0.0428,0.2626,0.0245
weak,ofast_omp_improved,4,8,2,56,1,16384,16384,500,23.3973,23.1550,22.8478,0.3072,0.8088,0.1770
weak,ofast_omp_improved,4,8,2,56,2,16384,16384,500,24.0218,23.7712,23.4638,0.3074,1.5786,0.1695
weak,ofast_omp_improved,4,8,2,56,8,16384,16384,500,25.2794,24.7392,24.4372,0.3076,2.8667,0.1737
weak,ofast_omp_improved,2,16,8,14,1,16384,16384,500,12.9286,12.7640,12.6699,0.0980,2.0669,0.0999
weak,ofast_omp_improved,2,16,8,14,2,16384,16384,500,11.5237,11.3676,11.2739,0.0979,0.6224,0.1646
weak,ofast_omp_improved,2,16,8,14,8,16384,16384,500,11.9389,11.8450,11.7495,0.1018,1.2140,0.1547
weak,ofast_omp_improved,2,32,16,7,8,16384,16384,500,6.3870,6.2872,6.2299,0.0585,0.2704,0.0485
weak,ofast_omp_improved,2,32,16,7,1,16384,16384,500,6.4503,6.3447,6.2890,0.0590,0.3310,0.0463
weak,ofast_omp_improved,2,32,16,7,2,16384,16384,500,6.5222,6.3916,6.3373,0.0574,0.4027,0.0455
weak,ofast_omp_improved,2,4,2,56,1,16384,16384,500,46.1119,45.7597,45.4389,0.3239,1.2890,0.3369
weak,ofast_omp_improved,2,4,2,56,8,16384,16384,500,46.4655,46.1157,45.7925,0.3262,2.4291,0.3399
weak,ofast_omp_improved,2,4,2,56,2,16384,16384,500,47.1401,46.7790,46.4557,0.3249,2.4250,0.3326
weak,ofast_omp_improved,1,16,16,7,1,16384,16384,500,12.7043,12.6379,12.5684,0.0719,0.4769,0.0927
weak,ofast_omp_improved,1,16,16,7,2,16384,16384,500,12.6226,12.5083,12.4329,0.0754,0.2888,0.0927
weak,ofast_omp_improved,1,16,16,7,8,16384,16384,500,12.6000,12.4969,12.4310,0.0718,0.1968,0.0944
weak,ofast_omp_improved,1,8,8,14,2,16384,16384,500,23.8098,23.6974,23.5818,0.1185,2.1110,0.1675
weak,ofast_omp_improved,1,8,8,14,1,16384,16384,500,24.5670,24.3541,24.2370,0.1184,2.4588,0.1697
weak,ofast_omp_improved,1,8,8,14,8,16384,16384,500,23.4005,23.2687,23.1509,0.1178,1.3633,0.1704
weak,ofast_omp_improved,1,2,2,56,2,16384,16384,500,99.7213,99.2566,98.8561,0.4399,0.1666,0.7022
weak,ofast_omp_improved,1,2,2,56,1,16384,16384,500,100.2799,99.8430,99.4151,0.4329,0.3057,0.7238
weak,ofast_omp_improved,1,2,2,56,8,16384,16384,500,100.8133,100.4164,99.9710,0.4454,0.5939,0.6942
weak,ofast_omp_improved,16,128,8,14,1,16384,16384,500,1.4847,1.3605,1.2935,0.0681,0.1083,0.0126
weak,ofast_omp_improved,16,128,8,14,2,16384,16384,500,1.5519,1.4242,1.3579,0.0675,0.1865,0.0119
weak,ofast_omp_improved,16,128,8,14,8,16384,16384,500,1.4956,1.3776,1.3110,0.0683,0.1378,0.0126
weak,ofast_omp_improved,16,32,2,56,2,16384,16384,500,6.4288,6.0256,5.7600,0.2695,0.3247,0.0462
weak,ofast_omp_improved,16,32,2,56,8,16384,16384,500,6.4065,6.0690,5.8025,0.2690,0.3041,0.0443
weak,ofast_omp_improved,16,32,2,56,1,16384,16384,500,6.5914,6.0576,5.7899,0.2700,0.4818,0.0479
weak,ofast_omp_improved,16,256,16,7,1,16384,16384,500,0.7557,0.7080,0.6769,0.0331,0.0799,0.0068
weak,ofast_omp_improved,16,256,16,7,8,16384,16384,500,0.7634,0.7038,0.6729,0.0342,0.0819,0.0065
weak,ofast_omp_improved,8,64,8,14,1,16384,16384,500,2.9829,2.8498,2.7788,0.0718,0.2204,0.0235
weak,ofast_omp_improved,8,64,8,14,2,16384,16384,500,2.9449,2.8036,2.7322,0.0731,0.1665,0.0235
weak,ofast_omp_improved,8,128,16,7,1,16384,16384,500,1.5522,1.4830,1.4447,0.0395,0.0762,0.0120
weak,ofast_omp_improved,8,128,16,7,2,16384,16384,500,1.6106,1.5373,1.4999,0.0393,0.1592,0.0122
weak,ofast_omp_improved,8,128,16,7,8,16384,16384,500,1.6246,1.5629,1.5240,0.0392,0.1817,0.0125
weak,ofast_omp_improved,4,32,8,14,1,16384,16384,500,5.7252,5.5684,5.4869,0.0903,0.2175,0.0451
weak,ofast_omp_improved,4,32,8,14,2,16384,16384,500,5.8000,5.6440,5.5632,0.0882,0.3305,0.0464
weak,ofast_omp_improved,4,32,8,14,8,16384,16384,500,5.7490,5.6300,5.5422,0.0879,0.2416,0.0463
weak,ofast_omp_improved,4,64,16,7,1,16384,16384,500,3.1706,3.0886,3.0457,0.0442,0.1558,0.0241
weak,ofast_omp_improved,4,64,16,7,2,16384,16384,500,3.2998,3.2418,3.1997,0.0435,0.3556,0.0248
weak,ofast_omp_improved,4,64,16,7,8,16384,16384,500,3.7630,3.7061,3.6635,0.0469,0.8526,0.0249
weak,ofast_omp_improved,4,8,2,56,1,16384,16384,500,23.4473,23.1227,22.8170,0.3076,1.0645,0.1811
weak,ofast_omp_improved,4,8,2,56,2,16384,16384,500,23.5253,23.2206,22.9160,0.3064,1.0399,0.1751
weak,ofast_omp_improved,4,8,2,56,8,16384,16384,500,23.9608,23.7308,23.4191,0.3117,1.4225,0.1764
weak,ofast_omp_improved,2,16,8,14,1,16384,16384,500,11.4214,11.2594,11.1610,0.0984,0.5162,0.0998
weak,ofast_omp_improved,2,16,8,14,8,16384,16384,500,11.5545,11.4769,11.3841,0.0999,0.5794,0.0997
weak,ofast_omp_improved,2,32,16,7,1,16384,16384,500,6.5442,6.4180,6.3638,0.0583,0.5308,0.0467
weak,ofast_omp_improved,2,16,8,14,2,16384,16384,500,12.1349,11.9885,11.8959,0.0981,1.1867,0.0997
weak,ofast_omp_improved,2,32,16,7,2,16384,16384,500,6.4066,6.2409,6.1857,0.0575,0.3906,0.0461
weak,ofast_omp_improved,2,32,16,7,8,16384,16384,500,6.6738,6.6142,6.5597,0.0592,0.6523,0.0470
weak,ofast_omp_improved,2,4,2,56,1,16384,16384,500,46.0799,45.7533,45.4181,0.3352,1.5583,0.3383
weak,ofast_omp_improved,2,4,2,56,8,16384,16384,500,47.3341,46.9698,46.6473,0.3256,2.5684,0.3298
weak,ofast_omp_improved,2,4,2,56,2,16384,16384,500,48.3948,48.0722,47.7508,0.3233,4.3207,0.3279
weak,ofast_omp_improved,1,16,16,7,2,16384,16384,500,12.6123,12.4970,12.4255,0.0733,0.5336,0.0909
weak,ofast_omp_improved,1,16,16,7,1,16384,16384,500,13.9198,13.8559,13.7865,0.0708,1.9298,0.0898
weak,ofast_omp_improved,1,16,16,7,8,16384,16384,500,12.5836,12.5107,12.4351,0.0756,0.2411,0.0914
weak,ofast_omp_improved,1,8,8,14,8,16384,16384,500,23.7740,23.5638,23.4476,0.1201,1.7656,0.1826
weak,ofast_omp_improved,1,8,8,14,2,16384,16384,500,24.2673,24.0511,23.9362,0.1173,2.2877,0.1698
weak,ofast_omp_improved,1,8,8,14,1,16384,16384,500,24.6488,24.4435,24.3276,0.1171,3.1487,0.1716
weak,ofast_omp_improved,1,2,2,56,1,16384,16384,500,100.3358,99.9365,99.4936,0.4429,1.5590,0.6972
weak,ofast_omp_improved,1,2,2,56,2,16384,16384,500,102.7671,102.2965,101.8947,0.4469,1.8120,0.6893
weak,ofast_omp_improved,1,2,2,56,8,16384,16384,500,101.3668,100.9004,100.4868,0.4359,0.6276,0.6996
weak,ofast,16,256,16,7,2,16384,16384,500,0.8635,0.8254,0.7937,0.0345,0.2095,0.0069
weak,ofast,8,16,2,56,1,16384,16384,500,12.2628,11.7928,11.5155,0.2802,0.6874,0.1075
weak,ofast,8,16,2,56,2,16384,16384,500,12.0406,11.7442,11.4678,0.2782,1.8472,0.0874
weak,ofast,8,16,2,56,8,16384,16384,500,12.2649,11.7604,11.4826,0.2793,0.7000,0.1661
weak,ofast_omp_improved,16,256,16,7,2,16384,16384,500,0.8698,0.8275,0.7960,0.0332,0.1983,0.0066
weak,ofast_omp_improved,8,16,2,56,1,16384,16384,500,12.1268,11.8484,11.5713,0.2784,0.6692,0.1613
weak,ofast_omp_improved,8,16,2,56,2,16384,16384,500,12.1302,11.7282,11.4486,0.2810,0.6722,0.1638
weak,ofast_omp_improved,8,16,2,56,8,16384,16384,500,12.1102,11.6678,11.3911,0.2781,0.5048,0.1001
weak,ofast_omp_improved,16,256,16,7,1,65536,65536,500,12.6821,12.7739,12.7115,0.0708,0.7592,0.0970
weak,ofast_omp_improved,16,256,16,7,1,65536,65536,500,13.1286,13.1191,13.0549,0.0696,1.1367,0.0942
weak,ofast_omp_improved,4,64,16,7,1,32768,32768,500,12.8201,12.7897,12.7272,0.0659,0.5971,0.0912
weak,ofast_omp_improved,8,128,16,7,1,46340,46340,500,13.0791,12.9521,12.8868,0.0703,0.6266,0.0958
weak,ofast_omp_improved,8,128,16,7,1,46340,46340,500,13.1850,13.1043,13.0376,0.0738,0.9066,0.0916
weak,ofast_omp_improved,1,16,16,7,1,16384,16384,500,12.6648,12.5227,12.4481,0.0746,0.4210,0.0913
weak,ofast_omp_improved,1,16,16,7,1,16384,16384,500,12.6766,12.5262,12.4561,0.0714,0.4375,0.0913
weak,ofast_omp_improved,4,64,16,7,1,32768,32768,500,12.9929,12.8999,12.8387,0.0658,0.7886,0.0925
weak,ofast_omp_improved,2,32,16,7,1,23170,23170,500,12.9379,12.8045,12.7407,0.0657,0.5684,0.0937
weak,ofast_omp_improved,2,32,16,7,1,23170,23170,500,13.4555,13.3080,13.2445,0.0659,1.0700,0.0896
